CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,,,
40358429,MAY MAY KITCHEN,BROOKLYN,1269,SUTTER AVENUE,11208,7182354485,Chinese,08/15/2012,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,27,B,08/15/2012,01/29/2015,Cycle Inspection / Re-inspection,,,
40358429,MAY MAY KITCHEN,BROOKLYN,1269,SUTTER AVENUE,11208,7182354485,Chinese,08/15/2012,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,27,B,08/15/2012,01/29/2015,Cycle Inspection / Re-inspection,,,
40358429,MAY MAY KITCHEN,BROOKLYN,1269,SUTTER AVENUE,11208,7182354485,Chinese,08/15/2012,Violations were cited in the following area(s).,16B,"The original nutritional fact labels and/or ingredient label for a cooking oil, shortening or margarine or food item sold in bulk, or acceptable manufacturers documentation not maintained on site.",Not Critical,,,,01/29/2015,Trans Fat / Re-inspection,,,
40358429,MAY MAY KITCHEN,BROOKLYN,1269,SUTTER AVENUE,11208,7182354485,Chinese,08/06/2012,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,16,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40358429,MAY MAY KITCHEN,BROOKLYN,1269,SUTTER AVENUE,11208,7182354485,Chinese,08/06/2012,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,16,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40358429,MAY MAY KITCHEN,BROOKLYN,1269,SUTTER AVENUE,11208,7182354485,Chinese,08/06/2012,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,16,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40358429,MAY MAY KITCHEN,BROOKLYN,1269,SUTTER AVENUE,11208,7182354485,Chinese,03/28/2012,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,27,B,03/28/2012,01/29/2015,Cycle Inspection / Re-inspection,,,
40358429,MAY MAY KITCHEN,BROOKLYN,1269,SUTTER AVENUE,11208,7182354485,Chinese,03/28/2012,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,27,B,03/28/2012,01/29/2015,Cycle Inspection / Re-inspection,,,
40358429,MAY MAY KITCHEN,BROOKLYN,1269,SUTTER AVENUE,11208,7182354485,Chinese,03/28/2012,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,27,B,03/28/2012,01/29/2015,Cycle Inspection / Re-inspection,,,
40358429,MAY MAY KITCHEN,BROOKLYN,1269,SUTTER AVENUE,11208,7182354485,Chinese,03/28/2012,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,27,B,03/28/2012,01/29/2015,Cycle Inspection / Re-inspection,,,
40358429,MAY MAY KITCHEN,BROOKLYN,1269,SUTTER AVENUE,11208,7182354485,Chinese,03/28/2012,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,27,B,03/28/2012,01/29/2015,Cycle Inspection / Re-inspection,,,
40358429,MAY MAY KITCHEN,BROOKLYN,1269,SUTTER AVENUE,11208,7182354485,Chinese,03/07/2012,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,47,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40358429,MAY MAY KITCHEN,BROOKLYN,1269,SUTTER AVENUE,11208,7182354485,Chinese,03/07/2012,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,47,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40358429,MAY MAY KITCHEN,BROOKLYN,1269,SUTTER AVENUE,11208,7182354485,Chinese,03/07/2012,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,47,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40358429,MAY MAY KITCHEN,BROOKLYN,1269,SUTTER AVENUE,11208,7182354485,Chinese,03/07/2012,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,47,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40358429,MAY MAY KITCHEN,BROOKLYN,1269,SUTTER AVENUE,11208,7182354485,Chinese,03/07/2012,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,47,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40358429,MAY MAY KITCHEN,BROOKLYN,1269,SUTTER AVENUE,11208,7182354485,Chinese,03/07/2012,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,47,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40358429,MAY MAY KITCHEN,BROOKLYN,1269,SUTTER AVENUE,11208,7182354485,Chinese,03/07/2012,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,47,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40358429,MAY MAY KITCHEN,BROOKLYN,1269,SUTTER AVENUE,11208,7182354485,Chinese,03/07/2012,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,47,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40359480,1 EAST 66TH STREET KITCHEN,MANHATTAN,1,EAST   66 STREET,10065,2128793900,American ,05/07/2014,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained, anti-siphonage or backflow prevention device not provided where required, equipment or floor not properly drained, sewage disposal system in disrepair or not functioning properly.,Not Critical,3,A,05/07/2014,01/29/2015,Cycle Inspection / Initial Inspection
40359480,1 EAST 66TH STREET KITCHEN,MANHATTAN,1,EAST   66 STREET,10065,2128793900,American ,05/03/2013,Violations were cited in the following area(s).,09A,Canned food product observed dented and not segregated from other consumable food items.,Not Critical,4,A,05/03/2013,01/29/2015,Cycle Inspection / Initial Inspection,,,
40359480,1 EAST 66TH STREET KITCHEN,MANHATTAN,1,EAST   66 STREET,10065,2128793900,American ,05/03/2013,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4,A,05/03/2013,01/29/2015,Cycle Inspection / Initial Inspection,,,
40359480,1 EAST 66TH STREET KITCHEN,MANHATTAN,1,EAST   66 STREET,10065,2128793900,American ,04/30/2012,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,6,A,04/30/2012,01/29/2015,Cycle Inspection / Initial Inspection,,,
40359480,1 EAST 66TH STREET KITCHEN,MANHATTAN,1,EAST   66 STREET,10065,2128793900,American ,12/27/2011,No violations were recorded at the time of this inspection.,,,Not Applicable,0,A,12/27/2011,01/29/2015,Cycle Inspection / Re-inspection,,,
40359480,1 EAST 66TH STREET KITCHEN,MANHATTAN,1,EAST   66 STREET,10065,2128793900,American ,12/12/2011,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,18,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40359480,1 EAST 66TH STREET KITCHEN,MANHATTAN,1,EAST   66 STREET,10065,2128793900,American ,12/12/2011,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,18,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40359480,1 EAST 66TH STREET KITCHEN,MANHATTAN,1,EAST   66 STREET,10065,2128793900,American ,12/12/2011,Violations were cited in the following area(s).,10A,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",Not Critical,18,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40359480,1 EAST 66TH STREET KITCHEN,MANHATTAN,1,EAST   66 STREET,10065,2128793900,American ,12/12/2011,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,18,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40360045,SEUDA FOODS,BROOKLYN,705,KINGS HIGHWAY,11223,7183751500,Jewish/Kosher,11/10/2014,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,11,A,11/10/2014,01/29/2015,Cycle Inspection / Re-inspection,,,
40360045,SEUDA FOODS,BROOKLYN,705,KINGS HIGHWAY,11223,7183751500,Jewish/Kosher,11/10/2014,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,11,A,11/10/2014,01/29/2015,Cycle Inspection / Re-inspection,,,
40360045,SEUDA FOODS,BROOKLYN,705,KINGS HIGHWAY,11223,7183751500,Jewish/Kosher,10/20/2014,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,23,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40360045,SEUDA FOODS,BROOKLYN,705,KINGS HIGHWAY,11223,7183751500,Jewish/Kosher,10/20/2014,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,23,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40360045,SEUDA FOODS,BROOKLYN,705,KINGS HIGHWAY,11223,7183751500,Jewish/Kosher,10/20/2014,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,23,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40360045,SEUDA FOODS,BROOKLYN,705,KINGS HIGHWAY,11223,7183751500,Jewish/Kosher,10/20/2014,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,23,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40360045,SEUDA FOODS,BROOKLYN,705,KINGS HIGHWAY,11223,7183751500,Jewish/Kosher,10/20/2014,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,23,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40360045,SEUDA FOODS,BROOKLYN,705,KINGS HIGHWAY,11223,7183751500,Jewish/Kosher,10/10/2013,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,13,A,10/10/2013,01/29/2015,Cycle Inspection / Initial Inspection,,,
40360045,SEUDA FOODS,BROOKLYN,705,KINGS HIGHWAY,11223,7183751500,Jewish/Kosher,10/10/2013,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,13,A,10/10/2013,01/29/2015,Cycle Inspection / Initial Inspection,,,
40360045,SEUDA FOODS,BROOKLYN,705,KINGS HIGHWAY,11223,7183751500,Jewish/Kosher,10/10/2013,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,13,A,10/10/2013,01/29/2015,Cycle Inspection / Initial Inspection,,,
40360045,SEUDA FOODS,BROOKLYN,705,KINGS HIGHWAY,11223,7183751500,Jewish/Kosher,10/04/2012,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained, anti-siphonage or backflow prevention device not provided where required, equipment or floor not properly drained, sewage disposal system in disrepair or not functioning properly.,Not Critical,7,A,10/04/2012,01/29/2015,Cycle Inspection / Initial Inspection
40360045,SEUDA FOODS,BROOKLYN,705,KINGS HIGHWAY,11223,7183751500,Jewish/Kosher,10/04/2012,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,10/04/2012,01/29/2015,Cycle Inspection / Initial Inspection,,,
40360045,SEUDA FOODS,BROOKLYN,705,KINGS HIGHWAY,11223,7183751500,Jewish/Kosher,05/21/2012,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,9,A,05/21/2012,01/29/2015,Cycle Inspection / Re-inspection,,,
40360045,SEUDA FOODS,BROOKLYN,705,KINGS HIGHWAY,11223,7183751500,Jewish/Kosher,05/21/2012,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,9,A,05/21/2012,01/29/2015,Cycle Inspection / Re-inspection,,,
40360045,SEUDA FOODS,BROOKLYN,705,KINGS HIGHWAY,11223,7183751500,Jewish/Kosher,05/14/2012,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,22,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40360045,SEUDA FOODS,BROOKLYN,705,KINGS HIGHWAY,11223,7183751500,Jewish/Kosher,05/14/2012,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,22,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40360045,SEUDA FOODS,BROOKLYN,705,KINGS HIGHWAY,11223,7183751500,Jewish/Kosher,05/14/2012,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,22,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40360045,SEUDA FOODS,BROOKLYN,705,KINGS HIGHWAY,11223,7183751500,Jewish/Kosher,05/14/2012,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained, anti-siphonage or backflow prevention device not provided where required, equipment or floor not properly drained, sewage disposal system in disrepair or not functioning properly.,Not Critical,22,,,01/29/2015,Cycle Inspection / Initial Inspection
40360045,SEUDA FOODS,BROOKLYN,705,KINGS HIGHWAY,11223,7183751500,Jewish/Kosher,05/14/2012,Violations were cited in the following area(s).,10D,"Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",Not Critical,22,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40360045,SEUDA FOODS,BROOKLYN,705,KINGS HIGHWAY,11223,7183751500,Jewish/Kosher,12/30/2011,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,19,B,12/30/2011,01/29/2015,Cycle Inspection / Re-inspection,,,
40360045,SEUDA FOODS,BROOKLYN,705,KINGS HIGHWAY,11223,7183751500,Jewish/Kosher,12/30/2011,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,19,B,12/30/2011,01/29/2015,Cycle Inspection / Re-inspection,,,
40360045,SEUDA FOODS,BROOKLYN,705,KINGS HIGHWAY,11223,7183751500,Jewish/Kosher,12/30/2011,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,19,B,12/30/2011,01/29/2015,Cycle Inspection / Re-inspection,,,
40360045,SEUDA FOODS,BROOKLYN,705,KINGS HIGHWAY,11223,7183751500,Jewish/Kosher,12/30/2011,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,19,B,12/30/2011,01/29/2015,Cycle Inspection / Re-inspection,,,
40360045,SEUDA FOODS,BROOKLYN,705,KINGS HIGHWAY,11223,7183751500,Jewish/Kosher,12/20/2011,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,19,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40360045,SEUDA FOODS,BROOKLYN,705,KINGS HIGHWAY,11223,7183751500,Jewish/Kosher,12/20/2011,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,19,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40360045,SEUDA FOODS,BROOKLYN,705,KINGS HIGHWAY,11223,7183751500,Jewish/Kosher,12/20/2011,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,19,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40360045,SEUDA FOODS,BROOKLYN,705,KINGS HIGHWAY,11223,7183751500,Jewish/Kosher,12/20/2011,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,19,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40360076,CARVEL ICE CREAM,BROOKLYN,203,CHURCH AVENUE,11218,7184389501,"Ice Cream, Gelato, Yogurt, Ices",01/22/2015,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,9,A,01/22/2015,01/29/2015,Cycle Inspection / Initial Inspection,,,
40360076,CARVEL ICE CREAM,BROOKLYN,203,CHURCH AVENUE,11218,7184389501,"Ice Cream, Gelato, Yogurt, Ices",01/22/2015,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,9,A,01/22/2015,01/29/2015,Cycle Inspection / Initial Inspection,,,
40360076,CARVEL ICE CREAM,BROOKLYN,203,CHURCH AVENUE,11218,7184389501,"Ice Cream, Gelato, Yogurt, Ices",02/10/2014,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,02/10/2014,01/29/2015,Cycle Inspection / Initial Inspection,,,
40360076,CARVEL ICE CREAM,BROOKLYN,203,CHURCH AVENUE,11218,7184389501,"Ice Cream, Gelato, Yogurt, Ices",01/02/2013,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,13,A,01/02/2013,01/29/2015,Cycle Inspection / Initial Inspection,,,
40360076,CARVEL ICE CREAM,BROOKLYN,203,CHURCH AVENUE,11218,7184389501,"Ice Cream, Gelato, Yogurt, Ices",01/02/2013,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,13,A,01/02/2013,01/29/2015,Cycle Inspection / Initial Inspection,,,
40360076,CARVEL ICE CREAM,BROOKLYN,203,CHURCH AVENUE,11218,7184389501,"Ice Cream, Gelato, Yogurt, Ices",01/02/2013,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,01/02/2013,01/29/2015,Cycle Inspection / Initial Inspection,,,
40361322,CARVEL ICE CREAM,QUEENS,265-15,HILLSIDE AVENUE,11004,7183430392,"Ice Cream, Gelato, Yogurt, Ices",10/28/2014,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,9,A,10/28/2014,01/29/2015,Cycle Inspection / Re-inspection,,,
40361322,CARVEL ICE CREAM,QUEENS,265-15,HILLSIDE AVENUE,11004,7183430392,"Ice Cream, Gelato, Yogurt, Ices",10/28/2014,Violations were cited in the following area(s).,10A,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",Not Critical,9,A,10/28/2014,01/29/2015,Cycle Inspection / Re-inspection,,,
40361322,CARVEL ICE CREAM,QUEENS,265-15,HILLSIDE AVENUE,11004,7183430392,"Ice Cream, Gelato, Yogurt, Ices",10/28/2014,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,10/28/2014,01/29/2015,Cycle Inspection / Re-inspection,,,
40361322,CARVEL ICE CREAM,QUEENS,265-15,HILLSIDE AVENUE,11004,7183430392,"Ice Cream, Gelato, Yogurt, Ices",10/07/2014,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,20,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40361322,CARVEL ICE CREAM,QUEENS,265-15,HILLSIDE AVENUE,11004,7183430392,"Ice Cream, Gelato, Yogurt, Ices",10/07/2014,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,20,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40361322,CARVEL ICE CREAM,QUEENS,265-15,HILLSIDE AVENUE,11004,7183430392,"Ice Cream, Gelato, Yogurt, Ices",10/07/2014,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,20,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40361322,CARVEL ICE CREAM,QUEENS,265-15,HILLSIDE AVENUE,11004,7183430392,"Ice Cream, Gelato, Yogurt, Ices",09/18/2013,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,10,A,09/18/2013,01/29/2015,Cycle Inspection / Initial Inspection,,,
40361322,CARVEL ICE CREAM,QUEENS,265-15,HILLSIDE AVENUE,11004,7183430392,"Ice Cream, Gelato, Yogurt, Ices",09/18/2013,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,10,A,09/18/2013,01/29/2015,Cycle Inspection / Initial Inspection,,,
40361322,CARVEL ICE CREAM,QUEENS,265-15,HILLSIDE AVENUE,11004,7183430392,"Ice Cream, Gelato, Yogurt, Ices",09/20/2012,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,13,A,09/20/2012,01/29/2015,Cycle Inspection / Initial Inspection,,,
40361322,CARVEL ICE CREAM,QUEENS,265-15,HILLSIDE AVENUE,11004,7183430392,"Ice Cream, Gelato, Yogurt, Ices",09/20/2012,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,13,A,09/20/2012,01/29/2015,Cycle Inspection / Initial Inspection,,,
40361322,CARVEL ICE CREAM,QUEENS,265-15,HILLSIDE AVENUE,11004,7183430392,"Ice Cream, Gelato, Yogurt, Ices",09/20/2012,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,09/20/2012,01/29/2015,Cycle Inspection / Initial Inspection,,,
40361390,NORDIC DELICACIES,BROOKLYN,6909,3 AVENUE,11209,7187481874,Delicatessen,01/14/2015,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,15,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40361390,NORDIC DELICACIES,BROOKLYN,6909,3 AVENUE,11209,7187481874,Delicatessen,01/14/2015,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,15,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40361390,NORDIC DELICACIES,BROOKLYN,6909,3 AVENUE,11209,7187481874,Delicatessen,01/14/2015,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained, anti-siphonage or backflow prevention device not provided where required, equipment or floor not properly drained, sewage disposal system in disrepair or not functioning properly.,Not Critical,15,,,01/29/2015,Cycle Inspection / Initial Inspection
40361390,NORDIC DELICACIES,BROOKLYN,6909,3 AVENUE,11209,7187481874,Delicatessen,01/14/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,15,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40361390,NORDIC DELICACIES,BROOKLYN,6909,3 AVENUE,11209,7187481874,Delicatessen,08/21/2014,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained, anti-siphonage or backflow prevention device not provided where required, equipment or floor not properly drained, sewage disposal system in disrepair or not functioning properly.,Not Critical,4,A,08/21/2014,01/29/2015,Cycle Inspection / Re-inspection
40361390,NORDIC DELICACIES,BROOKLYN,6909,3 AVENUE,11209,7187481874,Delicatessen,08/21/2014,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4,A,08/21/2014,01/29/2015,Cycle Inspection / Re-inspection,,,
40361390,NORDIC DELICACIES,BROOKLYN,6909,3 AVENUE,11209,7187481874,Delicatessen,08/07/2014,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,40,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40361390,NORDIC DELICACIES,BROOKLYN,6909,3 AVENUE,11209,7187481874,Delicatessen,08/07/2014,Violations were cited in the following area(s).,06B,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",Critical,40,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40361390,NORDIC DELICACIES,BROOKLYN,6909,3 AVENUE,11209,7187481874,Delicatessen,08/07/2014,Violations were cited in the following area(s).,06G,HACCP plan not approved or approved HACCP plan not maintained on premises.,Critical,40,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40361390,NORDIC DELICACIES,BROOKLYN,6909,3 AVENUE,11209,7187481874,Delicatessen,08/07/2014,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained, anti-siphonage or backflow prevention device not provided where required, equipment or floor not properly drained, sewage disposal system in disrepair or not functioning properly.,Not Critical,40,,,01/29/2015,Cycle Inspection / Initial Inspection
40361390,NORDIC DELICACIES,BROOKLYN,6909,3 AVENUE,11209,7187481874,Delicatessen,08/07/2014,Violations were cited in the following area(s).,18D,"Failure to comply with an Order of the Board of Health, Commissioner, or Department.",Not Critical,,,,01/29/2015,Administrative Miscellaneous / Initial Inspection,,,
